gene symbol,p_val_adj,avg_logFC,cell type
CMAHP,2.64E-283,1.24783,Podocyte
COL4A3,1.54E-269,1.390727,Podocyte
ST3GAL6,4.81E-268,1.344307,Podocyte
KIRREL,3.51E-263,1.225142,Podocyte
ZDHHC6,1.23E-260,1.272592,Podocyte
IQGAP2,1.19E-258,1.340411,Podocyte
PARD3B,1.87E-244,1.316902,Podocyte
RBFOX1,1.33E-236,1.277145,Podocyte
TENM2,1.41E-235,1.115916,Podocyte
FRY,6.23E-232,1.303899,Podocyte
KLHL29,9.87E-232,1.150092,Podocyte
CBLB,3.03E-223,1.251063,Podocyte
INTS12,9.70E-220,1.274976,Podocyte
VTI1A,8.89E-212,1.310615,Podocyte
MGAT5,4.79E-208,1.222235,Podocyte
CRIM1,5.20E-208,1.352627,Podocyte
SOX2-OT,7.76E-204,1.413532,Podocyte
PCED1B,1.38E-199,1.03225,Podocyte
TENM3,3.92E-197,1.103354,Podocyte
ITGB8,7.71E-192,1.116546,Podocyte
RERG,1.76E-186,1.118203,Podocyte
DOCK5,2.62E-183,1.253605,Podocyte
TJP1,5.78E-179,1.188426,Podocyte
PTPRD,9.97E-171,1.041683,Podocyte
CCDC91,3.18E-169,1.32091,Podocyte
PRKG1,5.13E-168,0.935176,Podocyte
CERS6,3.99E-167,1.022811,Podocyte
EXPH5,6.35E-166,1.134191,Podocyte
MTSS1,1.99E-156,1.022909,Podocyte
LARGE,6.57E-156,1.031951,Podocyte
CMYA5,2.74E-155,1.054588,Podocyte
DST,2.13E-153,1.064418,Podocyte
UACA,3.52E-149,1.116986,Podocyte
RP11-307N16.6,8.68E-146,1.081484,Podocyte
CA10,6.32E-143,0.981813,Podocyte
SRGAP1,9.59E-142,0.986385,Podocyte
KCNQ1OT1,2.12E-141,1.087816,Podocyte
GOLIM4,1.73E-133,1.089403,Podocyte
ACTN4,2.96E-132,1.055862,Podocyte
DLG2,2.45E-118,0.821321,Podocyte
ROBO2,1.07E-117,0.859974,Podocyte
FBXL7,2.73E-114,0.909631,Podocyte
MPP5,4.59E-108,0.945317,Podocyte
KLF7,8.79E-107,0.84399,Podocyte
MYO1D,4.18E-103,0.843813,Podocyte
EPB41L5,5.10E-103,0.901833,Podocyte
MYH9,8.61E-103,0.966381,Podocyte
COL4A4,8.63E-100,0.832125,Podocyte
MYO1E,2.66E-98,0.800586,Podocyte
FAM134B,3.43E-98,0.82789,Podocyte
GULP1,3.90E-98,0.815364,Podocyte
ARHGEF3,4.82E-94,0.799669,Podocyte
PDLIM5,1.50E-92,0.84458,Podocyte
MYO1B,9.50E-90,0.83056,Podocyte
PALLD,2.76E-87,0.804444,Podocyte
ZNRF3,7.53E-85,0.75393,Podocyte
CTDSPL,1.48E-84,0.786498,Podocyte
FRMD3,2.11E-84,0.698075,Podocyte
SGIP1,4.24E-81,0.816782,Podocyte
SLC7A8,2.30E-79,0.617056,Podocyte
APBB2,2.30E-76,0.688096,Podocyte
CACNB2,3.77E-73,0.634916,Podocyte
ADAMTS9,5.32E-70,0.733844,Podocyte
ZSWIM6,3.95E-68,0.703808,Podocyte
KANK1,4.15E-67,0.663437,Podocyte
PTH1R,1.04E-65,0.549272,Podocyte
PARD3,3.33E-65,0.602803,Podocyte
BACH1,1.25E-64,0.72116,Podocyte
ITGAV,1.59E-63,0.761608,Podocyte
THSD7A,3.96E-63,0.683813,Podocyte
CPNE8,5.49E-63,0.765216,Podocyte
MIB1,7.79E-62,0.696811,Podocyte
SLK,3.52E-60,0.787606,Podocyte
ARHGEF12,1.33E-59,0.694179,Podocyte
GPC6,1.22E-58,0.620482,Podocyte
TANC1,1.75E-58,0.674554,Podocyte
PTPN13,2.80E-58,0.670127,Podocyte
NLK,1.97E-57,0.696242,Podocyte
RABGAP1L,1.07E-55,0.590455,Podocyte
ADAMTS9-AS2,7.99E-55,0.670103,Podocyte
FTX,1.08E-54,0.53898,Podocyte
GPHN,4.90E-53,0.552978,Podocyte
TET2,5.31E-53,0.705376,Podocyte
CTTNBP2,2.55E-47,0.587107,Podocyte
PAWR,1.52E-46,0.581388,Podocyte
PHACTR4,6.59E-46,0.589512,Podocyte
AHNAK,1.08E-44,0.627924,Podocyte
GMDS,1.99E-43,0.548284,Podocyte
CALD1,5.17E-43,0.372753,Podocyte
MACF1,2.09E-42,0.468987,Podocyte
P3H2,5.59E-40,0.505686,Podocyte
AKT3,5.79E-40,0.474855,Podocyte
CSPP1,3.02E-39,0.528601,Podocyte
DOCK4,1.87E-38,0.478578,Podocyte
RP11-665G4.1,1.92E-38,0.484627,Podocyte
FAT1,2.04E-38,0.556255,Podocyte
RBMS1,6.95E-37,0.490399,Podocyte
MAML3,1.34E-36,0.527184,Podocyte
RASSF8,3.00E-36,0.546895,Podocyte
GHR,6.10E-36,0.450736,Podocyte
WWOX,2.22E-35,0.452772,Podocyte
PTPN14,4.96E-35,0.483966,Podocyte
ITGA1,2.00E-34,0.461672,Podocyte
PICALM,4.83E-31,0.468442,Podocyte
PLXDC2,1.91E-30,0.418275,Podocyte
BICD1,5.56E-30,0.432762,Podocyte
PSD3,7.41E-30,0.438411,Podocyte
NEAT1,8.26E-30,0.263581,Podocyte
BCKDHB,1.29E-29,0.519546,Podocyte
RDX,1.32E-29,0.482406,Podocyte
CPEB4,7.22E-28,0.448388,Podocyte
TEAD1,2.88E-27,0.411461,Podocyte
CEP112,4.64E-27,0.401141,Podocyte
XIST,5.17E-27,0.480521,Podocyte
SIK3,1.56E-26,0.376708,Podocyte
KIF13A,2.44E-26,0.468977,Podocyte
PAN3,3.04E-25,0.419351,Podocyte
GPX3,7.24E-25,0.32922,Podocyte
UBE2E2,9.55E-25,0.308778,Podocyte
PDE7B,3.61E-24,0.405988,Podocyte
SH3RF1,2.16E-23,0.395774,Podocyte
SBF2,3.95E-23,0.378701,Podocyte
SSBP2,8.10E-23,0.40572,Podocyte
11-Sep,1.57E-22,0.440873,Podocyte
EML4,2.66E-22,0.431017,Podocyte
FNDC3B,2.92E-22,0.371849,Podocyte
C10orf11,1.26E-21,0.251496,Podocyte
QKI,2.68E-21,0.38718,Podocyte
ANKRD36,3.59E-21,0.391736,Podocyte
RAI14,4.92E-21,0.344439,Podocyte
FCHSD2,2.01E-20,0.340653,Podocyte
SPATS2L,2.15E-20,0.354064,Podocyte
PCNXL4,6.30E-20,0.405171,Podocyte
IGF1R,1.36E-19,0.373214,Podocyte
SPAG16,1.81E-19,0.415287,Podocyte
MACROD2,3.86E-19,0.318029,Podocyte
UTRN,5.83E-18,0.365896,Podocyte
FMNL2,9.92E-18,0.353705,Podocyte
HIVEP2,3.10E-16,0.354981,Podocyte
LUC7L3,3.62E-16,0.293508,Podocyte
ERC1,6.19E-16,0.318337,Podocyte
CDK6,3.18E-15,0.297498,Podocyte
PAM,3.75E-15,0.320011,Podocyte
ADD3,6.01E-15,0.310134,Podocyte
ROCK1,1.12E-14,0.337925,Podocyte
UBA6-AS1,3.68E-14,0.306333,Podocyte
CAST,4.64E-14,0.311002,Podocyte
RNF150,8.23E-14,0.301797,Podocyte
CCDC148,1.00E-13,0.264599,Podocyte
NCOA1,1.11E-13,0.278289,Podocyte
MBD5,4.24E-13,0.258575,Podocyte
BTBD9,1.20E-12,0.25734,Podocyte
CPQ,1.38E-12,0.329676,Podocyte
DYNC2H1,1.53E-12,0.278549,Podocyte
ANKRD12,2.82E-12,0.259261,Podocyte
TBC1D1,3.59E-12,0.263163,Podocyte
MSI2,6.81E-12,0.272224,Podocyte
GLS,8.01E-12,0.254514,Podocyte
BMPR2,1.13E-11,0.257931,Podocyte
SOX6,1.61E-11,0.260809,Podocyte
ANKRD11,7.38E-11,0.26114,Podocyte
TMEM245,1.15E-10,0.29377,Podocyte
C20orf194,2.17E-10,0.250345,Podocyte
ERBB2IP,2.43E-10,0.281102,Podocyte
KIF1B,9.31E-10,0.257949,Podocyte
EEA1,1.45E-07,0.288347,Podocyte
ACSM2A,0,2.369756,Proximal tubule
ACSM2B,0,2.328115,Proximal tubule
CUBN,0,2.32055,Proximal tubule
SLC5A12,0,2.275438,Proximal tubule
RP11-556I14.1,0,2.121537,Proximal tubule
SLC13A3,0,2.026021,Proximal tubule
SORCS1,0,1.936829,Proximal tubule
SLC17A1,0,1.919725,Proximal tubule
LRP2,0,1.886416,Proximal tubule
SLC13A1,0,1.820937,Proximal tubule
SLC2A9,0,1.780021,Proximal tubule
SMIM2-AS1,0,1.653297,Proximal tubule
SLC16A9,0,1.630685,Proximal tubule
RHOBTB1,0,1.591814,Proximal tubule
C1orf186,0,1.580571,Proximal tubule
LINC01060,0,1.548888,Proximal tubule
ZNF804B,0,1.539582,Proximal tubule
GRAMD1B,0,1.504896,Proximal tubule
NOX4,0,1.489857,Proximal tubule
LINC00871,0,1.487467,Proximal tubule
PTH1R,0,1.478813,Proximal tubule
RP11-66B24.5,0,1.466862,Proximal tubule
TINAG,0,1.458443,Proximal tubule
KCNJ15,0,1.439884,Proximal tubule
SLC4A4,0,1.414395,Proximal tubule
TRPM3,0,1.395455,Proximal tubule
PDZD2,0,1.391373,Proximal tubule
DPYS,0,1.379255,Proximal tubule
SUGCT,0,1.365796,Proximal tubule
RMST,0,1.36494,Proximal tubule
SLC16A12,0,1.359873,Proximal tubule
ACMSD,0,1.356695,Proximal tubule
NCKAP5,0,1.345284,Proximal tubule
ALDOB,0,1.345076,Proximal tubule
RAB11FIP3,0,1.344046,Proximal tubule
GLYAT,0,1.307653,Proximal tubule
BNC2,0,1.287155,Proximal tubule
PRUNE2,0,1.233858,Proximal tubule
TRABD2B,0,1.217525,Proximal tubule
L3MBTL4,0,1.210713,Proximal tubule
MME,0,1.200068,Proximal tubule
PDE7A,0,1.185611,Proximal tubule
NHS,0,1.182411,Proximal tubule
FGGY,0,1.159552,Proximal tubule
PTH2R,0,1.117381,Proximal tubule
NLGN1,0,1.108939,Proximal tubule
ENPEP,0,1.081806,Proximal tubule
PTPRD,0,1.064288,Proximal tubule
ZBTB16,0,1.019683,Proximal tubule
FKBP5,0,1.003147,Proximal tubule
DLG2,0,0.977047,Proximal tubule
C10orf11,0,0.971872,Proximal tubule
PKHD1,0,0.809261,Proximal tubule
FHIT,0,0.752424,Proximal tubule
SYNE2,0,0.60629,Proximal tubule
ZBTB20,0,0.574937,Proximal tubule
PDE4D,0,0.496801,Proximal tubule
CDH6,1.04E-302,1.230434,Proximal tubule
WDR72,3.77E-296,0.985152,Proximal tubule
RP5-887A10.1,1.03E-294,1.204277,Proximal tubule
ADAMTS9-AS1,4.73E-285,1.084509,Proximal tubule
SLC1A1,1.17E-284,1.103071,Proximal tubule
MSRA,2.04E-284,1.080821,Proximal tubule
EPB41L3,1.15E-277,1.086929,Proximal tubule
TTC28,2.65E-276,0.954816,Proximal tubule
PLEKHA5,6.54E-266,0.847435,Proximal tubule
ANKS1B,3.87E-262,1.260392,Proximal tubule
RORA,3.07E-254,0.736995,Proximal tubule
RNF152,3.14E-251,1.044729,Proximal tubule
CNTN4,4.55E-241,0.992648,Proximal tubule
SORBS2,2.28E-235,0.891346,Proximal tubule
RERG,7.26E-235,0.906607,Proximal tubule
EBNA1BP2,7.41E-235,1.108355,Proximal tubule
RALYL,1.48E-218,0.91334,Proximal tubule
UBE2E2,2.68E-213,0.814036,Proximal tubule
INADL,2.91E-209,0.701839,Proximal tubule
KCNQ1OT1,5.56E-208,0.840274,Proximal tubule
PARD3,1.94E-196,0.713028,Proximal tubule
GPC6,2.29E-192,0.732629,Proximal tubule
CDK14,4.09E-186,0.782429,Proximal tubule
GPHN,5.34E-184,0.622369,Proximal tubule
BCL2,1.70E-181,0.876287,Proximal tubule
ERRFI1,1.25E-179,0.842704,Proximal tubule
MAST4,2.72E-173,0.676742,Proximal tubule
CALD1,2.50E-170,0.564837,Proximal tubule
GALNT14,3.24E-170,0.816995,Proximal tubule
FRMD4B,2.21E-169,0.874348,Proximal tubule
SNX29,2.45E-166,0.781825,Proximal tubule
FTX,2.76E-164,0.617671,Proximal tubule
PPARA,3.16E-164,0.904297,Proximal tubule
PTPRM,4.12E-163,0.596246,Proximal tubule
PLXDC2,1.17E-162,0.696892,Proximal tubule
TNS1,4.66E-160,0.934271,Proximal tubule
SDK1,1.29E-157,0.813991,Proximal tubule
GOLGA4,2.93E-157,0.59384,Proximal tubule
NRP1,4.85E-153,0.794848,Proximal tubule
GPX3,1.47E-140,0.922373,Proximal tubule
MAP3K13,1.64E-139,0.838874,Proximal tubule
WWOX,2.70E-139,0.555871,Proximal tubule
INSR,5.99E-139,0.832208,Proximal tubule
NEAT1,2.91E-134,0.509185,Proximal tubule
LINC01320,1.46E-133,0.548184,Proximal tubule
PARK2,3.78E-131,0.634165,Proximal tubule
SLIT2,4.09E-130,0.414227,Proximal tubule
SAMD5,1.67E-128,0.749546,Proximal tubule
ANK3,1.58E-125,0.497492,Proximal tubule
SRRM2,2.63E-123,0.735001,Proximal tubule
PDE8A,4.88E-123,0.706017,Proximal tubule
ASTN2,5.69E-123,0.743671,Proximal tubule
AKAP12,1.12E-122,0.813999,Proximal tubule
CNKSR3,1.35E-121,0.701343,Proximal tubule
CUX1,7.63E-120,0.685909,Proximal tubule
FRAS1,2.26E-118,0.62537,Proximal tubule
NFIB,1.13E-113,0.619105,Proximal tubule
TLN2,3.96E-108,0.761501,Proximal tubule
UGT2B7,2.85E-106,0.720027,Proximal tubule
AIG1,1.10E-105,0.711678,Proximal tubule
ABLIM1,1.48E-101,0.632541,Proximal tubule
GMDS-AS1,7.11E-101,0.572718,Proximal tubule
AGAP1,1.17E-99,0.6499,Proximal tubule
BICC1,3.23E-98,0.464845,Proximal tubule
DIP2C,3.22E-97,0.601461,Proximal tubule
RABGAP1L,1.78E-95,0.544332,Proximal tubule
RP1-60O19.1,2.89E-95,0.5773,Proximal tubule
FHOD3,1.45E-93,0.588139,Proximal tubule
WDR60,2.00E-89,0.649805,Proximal tubule
OXR1,5.77E-88,0.45996,Proximal tubule
PLEKHA7,6.17E-87,0.635203,Proximal tubule
FARP1,1.94E-85,0.573953,Proximal tubule
PTPRJ,2.81E-84,0.642696,Proximal tubule
LL22NC03-2H8.5,2.40E-83,0.587726,Proximal tubule
PPFIBP1,4.06E-83,0.632175,Proximal tubule
P3H2,7.97E-83,0.669237,Proximal tubule
NFIA,4.67E-81,0.574863,Proximal tubule
LUC7L3,3.95E-80,0.521148,Proximal tubule
IGF1R,1.84E-77,0.549819,Proximal tubule
RP11-96H19.1,2.31E-77,0.564516,Proximal tubule
ITGB8,3.38E-75,0.700707,Proximal tubule
KANK1,1.91E-73,0.505664,Proximal tubule
PBX1,3.03E-73,0.545576,Proximal tubule
SETBP1,3.58E-73,0.490076,Proximal tubule
PAX8,2.96E-71,0.416438,Proximal tubule
LPP,1.20E-70,0.417676,Proximal tubule
CSPP1,1.40E-70,0.608044,Proximal tubule
FGD4,3.37E-68,0.498312,Proximal tubule
C14orf105,8.39E-67,0.583704,Proximal tubule
CRADD,1.71E-65,0.551537,Proximal tubule
CGNL1,4.83E-65,0.479555,Proximal tubule
SPATS2L,6.94E-64,0.60135,Proximal tubule
MAML2,4.43E-60,0.364353,Proximal tubule
AGBL4,2.15E-59,0.558062,Proximal tubule
ZHX3,3.51E-59,0.545692,Proximal tubule
COL4A1,1.28E-58,0.557907,Proximal tubule
ANK2,2.17E-58,0.601753,Proximal tubule
ZBTB38,8.53E-58,0.582959,Proximal tubule
ANKRD26,7.05E-57,0.516687,Proximal tubule
PCLO,1.50E-56,0.526818,Proximal tubule
BCAS3,2.47E-56,0.477507,Proximal tubule
AKAP13,5.27E-55,0.495136,Proximal tubule
RBM6,9.87E-52,0.524763,Proximal tubule
RBM25,1.58E-51,0.530466,Proximal tubule
MAPK10,1.28E-50,0.384156,Proximal tubule
DANT2,2.06E-49,0.429803,Proximal tubule
MACROD2,2.44E-48,0.46074,Proximal tubule
PTPRG,4.91E-48,0.290449,Proximal tubule
HIBCH,2.42E-47,0.495568,Proximal tubule
TNRC6A,7.27E-47,0.464619,Proximal tubule
SCMH1,7.51E-45,0.474465,Proximal tubule
ARHGAP6,3.47E-44,0.310785,Proximal tubule
WDFY3,1.00E-42,0.449312,Proximal tubule
EXOC4,8.44E-42,0.419638,Proximal tubule
VPS13A,1.18E-40,0.468066,Proximal tubule
ANKIB1,8.64E-40,0.478743,Proximal tubule
SIPA1L1,1.11E-37,0.460709,Proximal tubule
SCAPER,8.05E-36,0.412999,Proximal tubule
C9orf3,6.33E-35,0.405873,Proximal tubule
KANSL1L,9.98E-35,0.41871,Proximal tubule
TEAD1,9.43E-34,0.421803,Proximal tubule
MBD5,1.13E-33,0.345716,Proximal tubule
VWA8,1.55E-33,0.41961,Proximal tubule
PNISR,1.29E-32,0.327606,Proximal tubule
SOX6,1.12E-30,0.348332,Proximal tubule
PTPRK,3.77E-29,0.399049,Proximal tubule
NEDD4L,1.06E-28,0.303885,Proximal tubule
EHBP1,7.30E-25,0.366812,Proximal tubule
GOLGB1,8.24E-24,0.339831,Proximal tubule
WWC1,2.18E-23,0.400526,Proximal tubule
CPM,1.13E-22,0.335527,Proximal tubule
TNRC6B,4.67E-22,0.338026,Proximal tubule
DPH6,6.08E-22,0.355717,Proximal tubule
RERE,1.35E-16,0.281282,Proximal tubule
SUMF1,3.47E-16,0.3314,Proximal tubule
SREK1,6.99E-16,0.416246,Proximal tubule
SMYD3,8.27E-15,0.277015,Proximal tubule
ASH1L,1.10E-13,0.28718,Proximal tubule
SPAG9,1.15E-13,0.325126,Proximal tubule
BTBD9,3.25E-13,0.259436,Proximal tubule
MYO6,1.02E-12,0.284024,Proximal tubule
PRRC2C,3.64E-12,0.365469,Proximal tubule
KANSL1,3.72E-12,0.277578,Proximal tubule
PAM,6.26E-12,0.295556,Proximal tubule
PCCA,3.18E-10,0.263476,Proximal tubule
FAF1,3.75E-10,0.250576,Proximal tubule
DLG1,7.99E-07,0.263002,Proximal tubule
RNF213,1.09E-06,0.32116,Proximal tubule
TPM1,1.57E-06,0.371061,Proximal tubule
MLLT4,1.52E-05,0.264231,Proximal tubule
NBEA,2.75E-05,0.260251,Proximal tubule
PICALM,5.83E-05,0.261997,Proximal tubule
ARHGEF28,0.001303,0.259001,Proximal tubule
VCAM1,0,2.039164,Descending loop of Henle
CPE,0,1.887195,Descending loop of Henle
CYP24A1,0,1.810748,Descending loop of Henle
TFPI2,0,1.780723,Descending loop of Henle
TNFSF10,0,1.763232,Descending loop of Henle
SLPI,0,1.644835,Descending loop of Henle
SPP1,0,1.528872,Descending loop of Henle
SLC34A2,1.08E-278,1.338267,Descending loop of Henle
TNFRSF11B,2.13E-276,1.485531,Descending loop of Henle
ADAMTS1,2.67E-258,1.337662,Descending loop of Henle
SERPINA1,2.18E-256,1.263123,Descending loop of Henle
GSTP1,1.06E-244,1.300018,Descending loop of Henle
H3F3B,3.25E-241,1.262593,Descending loop of Henle
CRYAB,1.71E-236,1.197297,Descending loop of Henle
RPLP0,9.66E-214,1.208231,Descending loop of Henle
EDIL3,3.06E-208,1.168207,Descending loop of Henle
CLU,3.53E-195,1.247684,Descending loop of Henle
RPS2,4.34E-181,1.129117,Descending loop of Henle
RPS6,8.33E-174,0.959093,Descending loop of Henle
KRT18,2.22E-173,1.239064,Descending loop of Henle
ID1,6.85E-171,1.124268,Descending loop of Henle
NFKBIZ,4.25E-170,1.184044,Descending loop of Henle
SOD2,5.79E-169,0.964293,Descending loop of Henle
SAT1,4.75E-167,1.120471,Descending loop of Henle
RPL3,3.03E-156,0.999677,Descending loop of Henle
C8orf4,1.25E-155,0.935192,Descending loop of Henle
RPL10,7.67E-153,1.038142,Descending loop of Henle
RPL19,4.95E-150,0.952134,Descending loop of Henle
TGM2,6.02E-140,1.089856,Descending loop of Henle
ODC1,5.46E-136,1.034006,Descending loop of Henle
TACSTD2,2.80E-131,1.068099,Descending loop of Henle
RPS5,4.50E-129,1.02355,Descending loop of Henle
HSP90B1,2.36E-127,0.834268,Descending loop of Henle
CTSL,8.19E-127,1.149206,Descending loop of Henle
GNB2L1,4.21E-126,0.956093,Descending loop of Henle
ACTG1,3.98E-121,1.029238,Descending loop of Henle
HINT1,3.01E-119,0.977274,Descending loop of Henle
PFKFB3,9.95E-119,0.989399,Descending loop of Henle
EEF1A1,6.41E-117,0.878094,Descending loop of Henle
RPL10A,1.15E-116,0.912147,Descending loop of Henle
HSP90AA1,2.02E-113,0.714024,Descending loop of Henle
RPS4X,3.52E-113,0.886232,Descending loop of Henle
RPL13,4.59E-112,0.752636,Descending loop of Henle
RPS27A,4.07E-109,0.839216,Descending loop of Henle
ATHL1,3.95E-107,0.907412,Descending loop of Henle
CEBPD,5.21E-105,0.94797,Descending loop of Henle
CIB1,4.71E-97,0.958518,Descending loop of Henle
RPL5,9.30E-96,0.929903,Descending loop of Henle
ARHGAP29,1.46E-95,0.886801,Descending loop of Henle
RPL6,2.10E-95,0.850905,Descending loop of Henle
LRRK2,3.50E-95,0.912408,Descending loop of Henle
RPS16,3.13E-94,0.865931,Descending loop of Henle
RPL15,1.08E-93,0.852184,Descending loop of Henle
IGFBP7,4.58E-93,0.725752,Descending loop of Henle
RPS18,1.31E-91,0.841637,Descending loop of Henle
RPL4,4.03E-90,0.862571,Descending loop of Henle
PRDX1,3.15E-89,0.791053,Descending loop of Henle
LAPTM4A,1.53E-88,0.857967,Descending loop of Henle
S100A10,1.89E-88,0.831344,Descending loop of Henle
ANXA2,2.29E-88,0.881843,Descending loop of Henle
TIMP1,4.48E-88,0.799939,Descending loop of Henle
PDIA6,5.58E-88,0.829839,Descending loop of Henle
RPSA,9.44E-88,0.854089,Descending loop of Henle
RPL7,1.60E-87,0.846982,Descending loop of Henle
BTF3,2.86E-85,0.869296,Descending loop of Henle
RPS8,7.33E-85,0.769467,Descending loop of Henle
CNBP,6.08E-84,0.834257,Descending loop of Henle
KRT8,3.18E-82,0.86867,Descending loop of Henle
RPS3A,4.84E-82,0.815638,Descending loop of Henle
EHF,4.99E-81,0.885666,Descending loop of Henle
GAPDH,6.62E-79,0.791889,Descending loop of Henle
RPS14,6.76E-79,0.70728,Descending loop of Henle
NACA,9.30E-79,0.817325,Descending loop of Henle
RPS19,1.16E-78,0.731927,Descending loop of Henle
RAN,1.34E-78,0.880146,Descending loop of Henle
HSP90AB1,2.50E-76,0.657981,Descending loop of Henle
NPM1,1.86E-75,0.777446,Descending loop of Henle
RPL7A,3.49E-75,0.79546,Descending loop of Henle
CD24,3.50E-73,0.598836,Descending loop of Henle
MMP7,1.26E-72,0.914288,Descending loop of Henle
MYL12B,1.57E-72,0.763613,Descending loop of Henle
EPCAM,3.80E-72,0.718238,Descending loop of Henle
RPL13A,5.15E-72,0.695783,Descending loop of Henle
RPL31,6.05E-72,0.717805,Descending loop of Henle
NAMPT,1.34E-71,0.805103,Descending loop of Henle
TPT1,1.67E-71,0.701408,Descending loop of Henle
ZFP36L1,2.51E-71,0.773988,Descending loop of Henle
PCBP1,5.26E-71,0.769877,Descending loop of Henle
RPL11,4.06E-70,0.711875,Descending loop of Henle
EEF1B2,1.62E-68,0.799958,Descending loop of Henle
ITGB6,2.91E-68,0.493128,Descending loop of Henle
EIF4A2,1.65E-66,0.750927,Descending loop of Henle
RPLP1,2.45E-66,0.664668,Descending loop of Henle
TXNIP,7.49E-65,0.583629,Descending loop of Henle
RPS7,1.16E-64,0.751101,Descending loop of Henle
RPL18,1.62E-64,0.745714,Descending loop of Henle
ENO1,5.61E-64,0.662824,Descending loop of Henle
HSPD1,8.18E-64,0.638307,Descending loop of Henle
RPL14,5.77E-62,0.744368,Descending loop of Henle
ITM2B,6.11E-62,0.548582,Descending loop of Henle
GDF15,4.30E-61,0.773408,Descending loop of Henle
ERMP1,8.56E-61,0.747289,Descending loop of Henle
CD59,8.89E-61,0.58306,Descending loop of Henle
ANXA5,3.40E-60,0.728643,Descending loop of Henle
B2M,9.76E-60,0.524886,Descending loop of Henle
CYSTM1,2.10E-59,0.661586,Descending loop of Henle
S100A6,5.37E-59,0.601283,Descending loop of Henle
EIF1,2.10E-57,0.659198,Descending loop of Henle
RPL8,4.39E-57,0.714135,Descending loop of Henle
PPIA,7.89E-56,0.773464,Descending loop of Henle
YWHAB,1.88E-54,0.666811,Descending loop of Henle
YBX1,1.93E-54,0.693021,Descending loop of Henle
PEBP1,2.47E-54,0.590534,Descending loop of Henle
IFITM3,4.83E-54,0.62179,Descending loop of Henle
RPS15,5.20E-54,0.67813,Descending loop of Henle
TMBIM6,7.06E-54,0.57363,Descending loop of Henle
ARF1,9.19E-54,0.680916,Descending loop of Henle
DDX5,4.27E-53,0.601262,Descending loop of Henle
MT2A,4.88E-53,0.66328,Descending loop of Henle
CANX,2.07E-52,0.616929,Descending loop of Henle
ASAH1,7.58E-52,0.703862,Descending loop of Henle
ACSL4,8.57E-52,0.760326,Descending loop of Henle
FTH1,9.53E-52,0.586699,Descending loop of Henle
XRCC5,2.69E-51,0.661406,Descending loop of Henle
RPS11,5.21E-51,0.672215,Descending loop of Henle
RPS23,3.20E-50,0.628367,Descending loop of Henle
ADAM10,6.23E-50,0.672053,Descending loop of Henle
RPL12,8.63E-50,0.656078,Descending loop of Henle
EPRS,2.02E-48,0.651275,Descending loop of Henle
LDHB,7.01E-48,0.509279,Descending loop of Henle
TMSB10,1.10E-46,0.622832,Descending loop of Henle
RPS25,2.24E-45,0.648564,Descending loop of Henle
CD63,2.93E-45,0.605569,Descending loop of Henle
RPS13,9.82E-45,0.626136,Descending loop of Henle
