gene symbol,p_val_adj,avg_logFC,cell type
ACADVL,3.20E-30,0.491700459,Thin ascending loop of Henle
ACADVL,1.79E-38,0.52861888,Distal tubule
ACAP1,0,1.326868195,T cells
ACAT1,0,1.523991938,Proximal tubule
ACBD6,1,0.282522625,Interstitium / Fibroblasts
ACKR3,7.01E-146,0.903981385,Interstitium / Fibroblasts
ACMSD,0,1.047247204,Proximal tubule
ACN9,1.87E-52,0.529040502,Proximal tubule
ACO2,3.02E-51,0.57480252,Proximal tubule
ACOT13,0,1.300932324,Proximal tubule
ACOT7,8.86E-292,0.97017364,Proximal tubule
ACOT9,0.05895398,0.271829123,Interstitium / Fibroblasts
ACP1,2.62E-25,0.449206386,Proximal tubule
ACPP,4.10E-166,0.75222045,Thick ascending loop of Henle
ACPP,9.93E-196,0.659284813,Thin ascending loop of Henle
ACSL1,9.11E-18,0.567800154,Thick ascending loop of Henle
ACSL4,2.32E-36,0.711591806,Thick ascending loop of Henle
ACSL4,8.77E-77,0.641066363,Connecting tubule
ACSL4,2.94E-44,0.563654699,Thin ascending loop of Henle
ACSL4,8.77E-77,0.641066363,Distal tubule
ACSM2A,0,1.098159318,Proximal tubule
ACSM2A,1.35E-121,1.324617923,Descending loop of Henle
ACSM2B,0,1.233605515,Proximal tubule
ACSM2B,2.06E-68,0.959654184,Descending loop of Henle
ACSS1,6.54E-50,0.71749376,Thick ascending loop of Henle
ACTA2,0,3.260764381,Mesangial cell
ACTA2,0,3.260764381,Vascular smooth muscle cells / pericytes
ACTB,2.31E-180,1.369109473,Macrophage
ACTB,4.67E-70,0.835932742,Monocyte
ACTB,1.30E-173,0.526590561,T cells
ACTB,1.09E-20,0.362973661,Mesangial cell
ACTB,1.09E-20,0.362973661,Vascular smooth muscle cells / pericytes
ACTG1,8.32E-30,0.373258456,Principal cells
ACTG1,1.47E-34,0.261168387,T cells
ACTG1,1.41E-15,0.633253602,Podocyte
ACTN1,2.91E-29,0.470863929,Descending loop of Henle
ACTN1,1.15E-54,0.835777502,Mesangial cell
ACTN1,1.15E-54,0.835777502,Vascular smooth muscle cells / pericytes
ACTN4,2.25E-15,0.455315154,Descending loop of Henle
ACTN4,2.08E-77,1.497367051,Podocyte
ACTN4,2.90E-16,0.457549809,Thin ascending loop of Henle
ACTN4,1.45E-24,0.747550206,Mesangial cell
ACTN4,1,0.343454363,Glomerular endothelial
ACTN4,2.71E-05,0.516291414,Descending vasa recta
ACTN4,1.45E-24,0.747550206,Vascular smooth muscle cells / pericytes
ACTR2,3.82E-43,0.602236402,Macrophage
ACTR2,9.45E-15,0.313320093,Monocyte
ACTR3,4.96E-47,0.693196442,Macrophage
ACTR3,1.01E-20,0.387909039,Monocyte
ACTR3,2.35E-48,0.451608994,T cells
ACVRL1,1.14E-174,1.134973024,Glomerular endothelial
ACVRL1,2.35E-133,0.818586435,Descending vasa recta
ACY3,0,1.014596217,Proximal tubule
ACYP1,0.727943577,0.318871034,Interstitium / Fibroblasts
ADAL,0.000928685,1.092669803,Interstitium / Fibroblasts
ADAM15,3.19E-145,1.21841745,Descending vasa recta
ADAM15,1.81E-53,0.847001523,Ascending vasa recta
ADAM28,0,0.736334748,Monocyte
ADAM33,0,0.913819473,Interstitium / Fibroblasts
ADAM9,0.154316791,0.272025546,Interstitium / Fibroblasts
ADAMTS16,2.53E-29,0.575339569,Interstitium / Fibroblasts
ADAMTS5,7.26E-28,0.737925815,Interstitium / Fibroblasts
ADAMTS6,0,1.935452566,Descending vasa recta
ADAMTS9,3.73E-62,0.913008621,Podocyte
ADAMTSL1,3.07E-75,0.679264459,Interstitium / Fibroblasts
ADAR,8.39E-07,0.713187526,Ascending vasa recta
ADD1,2.16E-14,0.417224176,Descending loop of Henle
ADD1,0.000150931,0.543089292,Interstitium / Fibroblasts
ADD1,1.63E-06,0.525517608,Descending vasa recta
ADD3,0.000366475,0.383497727,Podocyte
ADD3,3.44E-09,0.740264744,Interstitium / Fibroblasts
ADH1B,7.41E-301,1.66192726,Interstitium / Fibroblasts
ADH5,3.24E-58,0.61364964,Proximal tubule
ADI1,0,1.734249802,Proximal tubule
ADIRF,2.22E-17,0.708422114,Descending loop of Henle
ADIRF,2.47E-10,0.331850214,Thick ascending loop of Henle
ADIRF,4.10E-73,1.006243819,Thin ascending loop of Henle
ADIRF,4.03E-155,2.662395134,Mesangial cell
ADIRF,7.50E-26,0.678615153,Ascending vasa recta
ADIRF,4.03E-155,2.662395134,Vascular smooth muscle cells / pericytes
ADM,3.49E-94,0.560577745,Intercalated cells
ADM,2.44E-168,1.106841526,Connecting tubule
ADM,0.012828379,0.641308993,Interstitium / Fibroblasts
ADM,2.44E-168,1.106841526,Distal tubule
ADORA3,0,0.6448871,Monocyte
ADPGK,6.35E-52,0.460380362,Monocyte
ADTRP,0,0.788103545,Intercalated cells
AEBP1,5.26E-74,1.304025063,Interstitium / Fibroblasts
AES,2.71E-24,0.359501068,Principal cells
AES,0.005264416,0.283384441,Thick ascending loop of Henle
AES,7.82E-17,0.324583032,Thin ascending loop of Henle
AES,1,0.416455691,Glomerular endothelial
AES,5.84E-06,0.579267446,Descending vasa recta
AES,1,0.337510832,Ascending vasa recta
AFG3L2,1.51E-24,0.277366185,Connecting tubule
AFG3L2,1.51E-24,0.277366185,Distal tubule
AFP,0,1.068002346,Proximal tubule
AGMAT,0,1.235730909,Proximal tubule
AGPAT2,1.35E-07,0.30953943,Thick ascending loop of Henle
AGPAT2,1.85E-26,0.334725826,Connecting tubule
AGPAT2,7.82E-44,0.515177187,Thin ascending loop of Henle
AGPAT2,1.85E-26,0.334725826,Distal tubule
AGPAT9,1.43E-142,0.583870672,Intercalated cells
AGRN,3.73E-139,0.850537409,Principal cells
AGRN,4.39E-32,0.48219989,Descending loop of Henle
AGRN,2.15E-13,0.433220243,Thick ascending loop of Henle
AGRN,1.11E-40,0.418274331,Connecting tubule
AGRN,1.22E-06,0.57447239,Podocyte
AGRN,1.63E-51,0.586490445,Thin ascending loop of Henle
AGRN,1.11E-40,0.418274331,Distal tubule
AGTRAP,4.02E-29,0.433137189,Macrophage
AGXT2,0,1.290905799,Proximal tubule
AHCY,2.15E-303,1.080968877,Proximal tubule
AHCYL1,3.47E-30,0.616280255,Thick ascending loop of Henle
AHCYL1,5.34E-36,0.401154358,Connecting tubule
AHCYL1,1.94E-11,0.271722723,Thin ascending loop of Henle
AHCYL1,5.34E-36,0.401154358,Distal tubule
AHNAK,4.73E-23,0.354679992,Principal cells
AHNAK,1.14E-27,0.666253503,Descending loop of Henle
AHNAK,1.60E-14,0.651172916,Podocyte
AHNAK,4.42E-57,0.836356508,Thin ascending loop of Henle
AHNAK,4.26E-17,0.552445071,Mesangial cell
AHNAK,1.43E-15,0.629385675,Descending vasa recta
AHNAK,0.008998795,0.546122576,Ascending vasa recta
AHNAK,4.26E-17,0.552445071,Vascular smooth muscle cells / pericytes
AHSA2,1,0.365437827,Interstitium / Fibroblasts
AIF1,0,2.851368998,Macrophage
AIF1,0,1.591465316,Monocyte
AIF1,1.34E-183,2.114595024,Podocyte
AIF1L,1.77E-202,1.165002052,Principal cells
AIF1L,7.30E-20,0.470575495,Thick ascending loop of Henle
AIF1L,9.26E-138,0.927378526,Connecting tubule
AIF1L,1.79E-14,0.542695232,Podocyte
AIF1L,1.85E-57,0.723579807,Thin ascending loop of Henle
AIF1L,9.59E-12,0.566256656,Descending vasa recta
AIF1L,9.26E-138,0.927378526,Distal tubule
AIM1,4.00E-82,0.597961821,T cells
AK1,0.000178336,0.320906285,Podocyte
AK1,1.03E-39,0.912233662,Mesangial cell
AK1,1.03E-39,0.912233662,Vascular smooth muscle cells / pericytes
AK2,3.71E-56,0.582962454,Proximal tubule
AK3,8.09E-25,0.623657739,Thick ascending loop of Henle
AK3,3.78E-26,0.311126557,Connecting tubule
AK3,3.78E-26,0.311126557,Distal tubule
AK4,0,1.831938995,Proximal tubule
AKAP12,6.35E-196,1.066099595,Descending loop of Henle
AKAP12,5.23E-36,1.467288701,Interstitium / Fibroblasts
AKAP13,1.60E-20,0.365039903,Macrophage
AKAP13,1.42E-36,0.442097385,Monocyte
AKAP13,0.000734892,0.423037161,Descending vasa recta
AKAP9,3.15E-05,0.26132125,Descending loop of Henle
AKAP9,6.87E-14,0.489923412,Thick ascending loop of Henle
AKAP9,0.044523054,0.351403993,Podocyte
AKAP9,1.65E-48,0.667984376,Thin ascending loop of Henle
AKIRIN1,6.44E-20,0.346521564,Connecting tubule
AKIRIN1,6.44E-20,0.346521564,Distal tubule
AKIRIN2,1.14E-31,0.455258434,Macrophage
AKR1A1,0,1.680492854,Proximal tubule
AKR1B1,4.63E-56,0.648862342,Principal cells
AKR1B1,7.30E-34,0.471667446,Monocyte
AKR1C1,4.06E-60,0.758440005,Descending loop of Henle
AKR1C3,0,1.428564572,Proximal tubule
AKR7A2,0,1.374098546,Proximal tubule
AKR7A3,0,1.542369605,Proximal tubule
AL592183.1,8.23E-07,0.299603394,Descending loop of Henle
AL592183.1,0.000297225,0.49372895,Podocyte
AL592183.1,1.81E-11,0.365686934,Thin ascending loop of Henle
ALB,0,2.727005281,Proximal tubule
ALDH1A1,1.83E-17,0.357981314,Proximal tubule
ALDH1A1,1.79E-07,0.308984871,Descending loop of Henle
ALDH1A1,6.58E-76,0.52747229,Intercalated cells
ALDH1A1,7.58E-18,0.395464095,Thick ascending loop of Henle
ALDH1A3,3.30E-134,0.895239273,Interstitium / Fibroblasts
ALDH2,0,1.48359003,Proximal tubule
ALDH3A2,6.67E-184,0.878318182,Proximal tubule
ALDH4A1,3.51E-161,0.87154682,Proximal tubule
ALDH6A1,0,1.680009907,Proximal tubule
ALDH7A1,2.93E-132,0.752204056,Proximal tubule
ALDH9A1,6.84E-51,0.602066567,Proximal tubule
ALDOA,1.95E-13,0.303491032,Connecting tubule
ALDOA,9.54E-13,0.335089345,Macrophage
ALDOA,1.95E-13,0.303491032,Distal tubule
ALDOB,0,3.623498747,Proximal tubule
ALKBH7,2.59E-41,0.525397779,Proximal tubule
ALOX5,1.07E-250,0.589648566,Monocyte
ALOX5AP,7.28E-222,1.507807872,Monocyte
ALOX5AP,0,1.023332939,T cells
ALS2CL,6.06E-275,1.952925664,Podocyte
AMD1,4.67E-44,0.498561936,Connecting tubule
AMD1,4.67E-44,0.498561936,Distal tubule
AMFR,1.90E-47,0.51854611,Principal cells
AMFR,1.32E-122,0.608091143,Intercalated cells
AMFR,2.32E-20,0.370158337,Connecting tubule
AMFR,2.32E-20,0.370158337,Distal tubule
AMICA1,2.18E-68,0.593055469,Macrophage
AMICA1,4.80E-131,0.950327669,Monocyte
AMICA1,2.87E-249,0.795286888,T cells
AMN,4.49E-242,1.001981224,Proximal tubule
AMN,1.87E-33,0.558521931,Descending loop of Henle
AMN,1.00E-28,0.4206586,Thin ascending loop of Henle
ANAPC11,7.98E-10,0.312618329,Proximal tubule
ANAPC13,8.32E-35,0.481834563,Proximal tubule
ANAPC16,0.000124387,0.451181746,Podocyte
ANAPC16,0.09760735,0.291090226,Mesangial cell
ANAPC16,0.09760735,0.291090226,Vascular smooth muscle cells / pericytes
ANG,2.55E-10,0.617846144,Interstitium / Fibroblasts
ANGPTL1,5.50E-20,0.688035699,Interstitium / Fibroblasts
ANGPTL2,8.21E-94,0.434956912,Interstitium / Fibroblasts
ANGPTL3,0,1.429933095,Proximal tubule
ANK2,4.60E-232,0.909395904,Proximal tubule
ANK3,3.89E-53,0.627030555,Descending loop of Henle
ANK3,6.05E-56,0.56011412,Thin ascending loop of Henle
ANKRD10,1.27E-20,0.354478378,Principal cells
ANKRD10,3.81E-08,0.259018728,Thin ascending loop of Henle
ANKRD12,3.23E-50,0.473650379,T cells
ANKRD12,1,0.260196918,Interstitium / Fibroblasts
ANKRD12,0.006323374,0.345097189,Descending vasa recta
ANKRD12,1,0.444297196,Ascending vasa recta
ANKRD13A,2.70E-78,0.601868817,Principal cells
ANKRD28,2.94E-23,0.668442047,Descending vasa recta
ANKRD9,1.56E-114,0.429684419,Intercalated cells
ANO6,2.10E-93,1.109724307,Glomerular endothelial
ANP32A,7.86E-64,0.466206132,Intercalated cells
ANP32B,2.20E-23,0.348096094,T cells
ANP32B,1,0.291769576,Mesangial cell
ANP32B,1,0.291769576,Vascular smooth muscle cells / pericytes
ANPEP,0,1.101651056,Proximal tubule
ANPEP,4.11E-54,0.895637029,Descending loop of Henle
ANTXR2,4.83E-15,0.404187661,Interstitium / Fibroblasts
ANXA1,4.68E-47,0.59020101,Macrophage
ANXA1,1.66E-40,0.424221909,Monocyte
ANXA1,5.00E-186,0.971330138,T cells
ANXA1,1.14E-07,0.299974373,Podocyte
ANXA1,2.14E-10,0.276548209,Thin ascending loop of Henle
ANXA1,3.94E-10,1.185216736,Interstitium / Fibroblasts
ANXA1,0.002336104,0.539248535,Ascending vasa recta
ANXA11,3.43E-34,0.275292694,Intercalated cells
ANXA11,4.84E-28,0.447051386,Connecting tubule
ANXA11,2.24E-16,0.421821508,Thin ascending loop of Henle
ANXA11,4.84E-28,0.447051386,Distal tubule
ANXA2,1.23E-23,0.261643981,Principal cells
ANXA2,9.71E-21,0.50491166,Descending loop of Henle
ANXA2,1.16E-97,0.926993573,Macrophage
ANXA2,1.98E-57,1.567762068,Podocyte
ANXA2,4.24E-57,0.736042354,Thin ascending loop of Henle
ANXA2,2.50E-11,1.431113571,Interstitium / Fibroblasts
ANXA2,1,0.285022917,Glomerular endothelial
ANXA2,4.47E-23,0.894849153,Descending vasa recta
ANXA2,1.38E-12,0.757096142,Ascending vasa recta
ANXA3,5.68E-93,0.55084506,Thin ascending loop of Henle
ANXA4,5.52E-13,0.353636004,Proximal tubule
ANXA4,1.84E-110,0.731948016,Intercalated cells
ANXA4,9.01E-09,0.251250115,Thin ascending loop of Henle
ANXA5,1.32E-49,0.673650944,Macrophage
ANXA5,8.44E-20,0.404300191,Monocyte
ANXA5,1,0.308652509,Podocyte
ANXA5,0.173113721,0.37174024,Descending vasa recta
ANXA6,1.74E-72,0.479842725,T cells
ANXA7,4.69E-08,0.354832605,Proximal tubule
AOAH,6.45E-133,0.480623839,Macrophage
AOC1,2.34E-134,0.80893891,Principal cells
AOX1,4.88E-12,0.339245415,Interstitium / Fibroblasts
AP1M2,9.41E-138,0.830279206,Proximal tubule
AP1S1,7.10E-94,0.662767385,Proximal tubule
AP1S2,1.77E-181,1.172986943,Macrophage
AP1S2,3.12E-106,0.787039696,Monocyte
AP1S2,1.23E-98,1.198633185,Glomerular endothelial
AP1S2,2.27E-16,0.53416812,Descending vasa recta
AP1S2,2.58E-25,0.852571898,Ascending vasa recta
AP2B1,3.16E-35,0.421698212,Principal cells
AP2B1,0.001470569,0.322517217,Thick ascending loop of Henle
AP2B1,1.56E-33,0.565973436,Thin ascending loop of Henle
AP2S1,2.17E-47,0.709860994,Macrophage
AP2S1,1.06E-12,0.38750773,Monocyte
AP3S1,3.77E-05,0.415787361,Podocyte
AP3S1,0.003462317,0.334950738,Mesangial cell
AP3S1,1,0.365483078,Interstitium / Fibroblasts
AP3S1,0.003462317,0.334950738,Vascular smooth muscle cells / pericytes
APH1A,1,0.39403325,Interstitium / Fibroblasts
APLN,0,0.750277911,Podocyte
APLNR,0,1.070529317,Glomerular endothelial
APLP1,1.36E-131,0.739266467,Podocyte
APLP2,1.10E-61,0.604955315,Principal cells
APLP2,1.77E-25,0.568802177,Descending loop of Henle
APLP2,1.18E-31,0.314274696,Intercalated cells
APLP2,1.95E-24,0.669812978,Thick ascending loop of Henle
APLP2,1.87E-49,0.563663238,Connecting tubule
APLP2,2.70E-09,0.520055264,Podocyte
APLP2,7.26E-40,0.632511194,Thin ascending loop of Henle
APLP2,1.87E-49,0.563663238,Distal tubule
APMAP,0.012209559,0.287247842,Podocyte
APOBEC3A,0,1.045479041,Macrophage
APOC1,0,0.837671978,Intercalated cells
APOC1,3.54E-96,1.722000564,Monocyte
APOD,1.15E-293,1.372770081,Podocyte
APOD,0,3.429351167,Interstitium / Fibroblasts
APOE,0,2.723449509,Proximal tubule
APOL3,7.74E-88,0.975825663,Glomerular endothelial
APOL3,2.96E-31,0.547290746,Descending vasa recta
APOL3,6.11E-37,0.768861334,Ascending vasa recta
APOLD1,5.13E-85,0.926815444,Descending vasa recta
APOM,0,1.444523892,Proximal tubule
APOPT1,0.041308952,0.297592993,Podocyte
APP,6.43E-61,0.467796829,Principal cells
APP,5.07E-25,0.43197588,Descending loop of Henle
APP,2.68E-31,0.6254059,Thick ascending loop of Henle
APP,1.04E-45,0.450647671,Connecting tubule
APP,2.03E-77,0.747466471,Thin ascending loop of Henle
APP,4.72E-163,1.570791698,Glomerular endothelial
APP,8.26E-18,0.570712583,Descending vasa recta
APP,2.07E-30,0.943905824,Ascending vasa recta
APP,1.04E-45,0.450647671,Distal tubule
APRT,2.66E-35,0.472983665,Proximal tubule
AQP1,3.43E-85,0.91387536,Descending loop of Henle
AQP1,5.92E-05,0.627385234,Mesangial cell
AQP1,1.53E-136,1.655948683,Glomerular endothelial
AQP1,1.13E-202,2.22763731,Descending vasa recta
AQP1,5.92E-05,0.627385234,Vascular smooth muscle cells / pericytes
AQP2,0,3.106916324,Principal cells
AQP2,3.57E-108,0.849013582,Connecting tubule
AQP2,3.57E-108,0.849013582,Distal tubule
AQP3,0,2.262202921,Principal cells
AQP3,1.45E-33,0.651794231,Connecting tubule
AQP3,1.45E-33,0.651794231,Distal tubule
ARF1,0.001920632,0.409943329,Podocyte
ARF1,1,0.25125146,Mesangial cell
ARF1,1,0.25125146,Vascular smooth muscle cells / pericytes
ARF3,1.14E-12,0.26827612,Principal cells
ARF4,1.05E-10,0.269663941,Principal cells
ARF4,9.18E-21,0.312182255,Connecting tubule
ARF4,1,0.430788001,Interstitium / Fibroblasts
ARF4,9.18E-21,0.312182255,Distal tubule
ARF5,1.82E-23,0.341653315,Principal cells
ARF6,2.17E-07,0.277439093,T cells
ARF6,4.51E-08,0.60022829,Podocyte
ARG2,1.34E-85,0.696128097,Proximal tubule
ARG2,4.31E-61,0.511528264,Principal cells
ARG2,2.17E-30,0.473575706,Connecting tubule
ARG2,2.17E-30,0.473575706,Distal tubule
ARGLU1,2.63E-11,0.517140035,Podocyte
ARGLU1,2.53E-07,0.292953046,Thin ascending loop of Henle
ARGLU1,2.53E-13,0.622036319,Mesangial cell
ARGLU1,9.68E-14,0.686213398,Glomerular endothelial
ARGLU1,6.90E-26,0.890417868,Descending vasa recta
ARGLU1,2.82E-08,0.687281979,Ascending vasa recta
ARGLU1,2.53E-13,0.622036319,Vascular smooth muscle cells / pericytes
ARHGAP15,4.22E-51,0.303321109,Monocyte
ARHGAP15,7.32E-224,0.705702978,T cells
ARHGAP18,5.76E-276,0.952019249,Intercalated cells
ARHGAP21,9.49E-09,0.399933224,Interstitium / Fibroblasts
ARHGAP24,2.79E-14,0.359072061,Proximal tubule
ARHGAP24,1.55E-33,0.681191027,Thick ascending loop of Henle
ARHGAP24,1.55E-26,0.293654405,Connecting tubule
ARHGAP24,1.43E-11,0.271293861,Thin ascending loop of Henle
ARHGAP24,1.55E-26,0.293654405,Distal tubule
ARHGAP28,1.13E-208,1.04998351,Podocyte
ARHGAP29,3.34E-61,0.617434683,Principal cells
ARHGAP29,2.77E-17,0.621614981,Podocyte
ARHGAP29,8.71E-33,0.631656138,Thin ascending loop of Henle
ARHGAP29,1.95E-61,1.087636835,Glomerular endothelial
ARHGAP29,2.16E-10,0.43424853,Descending vasa recta
ARHGAP29,3.02E-17,0.756804301,Ascending vasa recta
ARHGAP30,4.17E-62,0.513352477,Macrophage
ARHGAP4,3.66E-47,0.50007287,Macrophage
ARHGAP5,9.60E-30,0.326519118,Connecting tubule
ARHGAP5,0.632279528,0.304061904,Podocyte
ARHGAP5,9.60E-30,0.326519118,Distal tubule
ARHGDIA,0.000187323,0.250564903,Macrophage
ARHGDIB,8.11E-132,1.112817874,Macrophage
ARHGDIB,3.71E-75,0.738172115,Monocyte
ARHGDIB,0,1.232402734,T cells
ARHGDIB,2.07E-26,0.636238852,Glomerular endothelial
ARHGEF1,1.29E-160,0.673916962,T cells
ARHGEF10,5.78E-10,0.429644939,Interstitium / Fibroblasts
ARHGEF12,1.93E-27,0.925090905,Podocyte
ARHGEF12,2.22E-12,0.613944828,Glomerular endothelial
ARHGEF17,5.82E-129,0.836337296,Mesangial cell
ARHGEF17,5.82E-129,0.836337296,Vascular smooth muscle cells / pericytes
ARHGEF26,3.50E-158,0.879909686,Podocyte
ARHGEF3,2.48E-141,1.302649037,Podocyte
ARID5B,4.46E-35,0.429916284,Proximal tubule
ARID5B,6.64E-06,0.356347319,Descending loop of Henle
ARID5B,0.000346935,0.368439503,Mesangial cell
ARID5B,1.99E-10,1.109608702,Interstitium / Fibroblasts
ARID5B,0.000346935,0.368439503,Vascular smooth muscle cells / pericytes
ARL2,6.48E-32,0.504599467,Proximal tubule
ARL2BP,2.99E-07,0.458373027,Podocyte
ARL2BP,0.00150842,0.385659727,Descending vasa recta
ARL3,2.24E-07,0.428860248,Podocyte
ARL4A,8.42E-146,1.128849008,Macrophage
ARL4D,2.75E-134,0.87668315,Principal cells
ARL4D,2.06E-83,0.384819676,Intercalated cells
ARL4D,9.59E-81,0.615357235,Connecting tubule
ARL4D,9.59E-81,0.615357235,Distal tubule
ARL5A,7.64E-12,0.326474512,Proximal tubule
ARL5A,4.98E-11,0.278861642,Monocyte
ARL6IP1,9.43E-95,0.875387109,Principal cells
ARL6IP1,0.00010113,0.272151095,Thick ascending loop of Henle
ARL6IP1,4.93E-19,0.369920458,Connecting tubule
ARL6IP1,4.93E-19,0.369920458,Distal tubule
ARL6IP4,3.14E-39,0.501894366,Proximal tubule
ARL6IP4,0.265777804,0.26870202,Mesangial cell
ARL6IP4,0.265777804,0.26870202,Vascular smooth muscle cells / pericytes
ARL6IP5,1.87E-20,0.448840676,Macrophage
ARL6IP5,3.21E-27,0.475306685,Monocyte
ARL6IP5,1.76E-90,0.602927195,T cells
ARL6IP5,1,0.325998785,Interstitium / Fibroblasts
ARL6IP5,0.139675743,0.35188758,Descending vasa recta
ARMCX2,1.91E-151,0.832983539,Principal cells
ARMCX3,3.39E-20,0.326592263,Principal cells
ARMCX3,1.27E-15,0.593336047,Podocyte
ARMCX3,0.071874658,0.372894431,Mesangial cell
ARMCX3,0.071874658,0.372894431,Vascular smooth muscle cells / pericytes
ARPC1A,3.87E-09,0.58394301,Mesangial cell
ARPC1A,3.87E-09,0.58394301,Vascular smooth muscle cells / pericytes
ARPC1B,2.09E-157,1.31426328,Macrophage
ARPC1B,3.04E-88,0.911931361,Monocyte
ARPC1B,5.31E-79,0.490189717,T cells
ARPC2,6.17E-113,1.065604704,Macrophage
ARPC2,3.63E-26,0.518294655,Monocyte
ARPC2,8.75E-41,0.329058242,T cells
ARPC3,1.03E-109,1.103145738,Macrophage
ARPC3,7.94E-53,0.705167111,Monocyte
ARPC4,5.43E-47,0.675691657,Macrophage
ARPC4,1.09E-13,0.27174671,Monocyte
ARPC5,1.14E-105,1.076875151,Macrophage
ARPC5,9.11E-34,0.481209158,Monocyte
ARPC5,0.074899707,0.362071649,Podocyte
ARPC5,0.088031016,0.393836368,Descending vasa recta
ARPP19,1.80E-13,0.31453894,Principal cells
ARPP19,0.117611002,0.347454067,Podocyte
ARRB2,6.41E-181,0.97339999,Macrophage
ARRB2,4.06E-105,0.696110147,Monocyte
ARRDC1,8.18E-21,0.314133473,Macrophage
ARRDC1,2.35E-27,0.381044674,Thin ascending loop of Henle
ARRDC2,2.81E-09,0.3463771,Podocyte
ARRDC2,8.97E-177,1.419965697,Glomerular endothelial
ARRDC2,1.96E-24,0.67797494,Descending vasa recta
ARRDC2,4.19E-28,0.818578376,Ascending vasa recta
ARRDC3,2.20E-20,0.436199939,Thick ascending loop of Henle
ARRDC4,6.28E-40,0.902005743,Podocyte
ARSD,8.89E-23,0.506372818,Thick ascending loop of Henle
ARSD,1.81E-35,0.383854471,Connecting tubule
ARSD,1.81E-35,0.383854471,Distal tubule
ASAH1,9.39E-83,0.767492925,Principal cells
ASAH1,2.89E-54,0.700672873,Macrophage
ASAP2,8.62E-47,0.432220403,Principal cells
ASAP2,6.58E-10,0.386739791,Thick ascending loop of Henle
ASAP2,1.75E-90,0.596873085,Connecting tubule
ASAP2,1.75E-90,0.596873085,Distal tubule
ASPDH,0,1.280880533,Proximal tubule
ASPH,0.000359928,0.460332807,Interstitium / Fibroblasts
ASPN,0,1.071797314,Interstitium / Fibroblasts
ASS1,0,2.47889412,Proximal tubule
ASXL1,7.12E-64,0.302913955,Intercalated cells
ATF3,1.53E-65,0.690691467,Principal cells
ATF3,1.46E-23,0.347910338,Connecting tubule
ATF3,1,0.702469664,Interstitium / Fibroblasts
ATF3,1.46E-23,0.347910338,Distal tubule
ATF4,1,0.283640656,Mesangial cell
