gene symbol,p_val_adj,avg_logFC,cell type
S100A9,7.90E-228,1.190808,Monocyte
ITGB2,2.28E-227,0.973522,Monocyte
SLCO2B1,1.46E-222,0.875792,Monocyte
CTSL,4.52E-221,1.511043,Monocyte
SDC3,2.85E-220,1.273441,Monocyte
MNDA,4.72E-220,1.04525,Monocyte
FTH1,5.44E-220,1.034568,Monocyte
RNASE6,3.64E-217,1.005095,Monocyte
MAFB,2.04E-216,1.166977,Monocyte
CD86,4.76E-216,0.831841,Monocyte
PLTP,2.57E-215,1.155875,Monocyte
HLA-DQA1,5.58E-214,1.186475,Monocyte
CTSD,2.92E-213,1.481062,Monocyte
CYBA,1.97E-212,1.138854,Monocyte
GRN,5.36E-210,1.251526,Monocyte
ACTB,4.14E-205,0.909463,Monocyte
MARCKS,5.12E-204,1.126857,Monocyte
NPL,2.73E-202,0.820981,Monocyte
CCL18,1.11E-200,1.851125,Monocyte
TMSB10,8.17E-198,0.774635,Monocyte
MRC1,1.08E-197,0.857824,Monocyte
HLA-DMB,2.45E-196,1.026102,Monocyte
CSF1R,5.97E-192,0.755904,Monocyte
TGFBI,1.57E-191,0.927704,Monocyte
C15orf48,8.07E-188,1.552867,Monocyte
CD4,2.43E-185,0.882078,Monocyte
CREG1,5.82E-185,1.086267,Monocyte
TMSB4X,8.99E-184,0.747303,Monocyte
CCL8,9.62E-184,1.459874,Monocyte
ACP5,1.05E-179,0.995459,Monocyte
CECR1,2.76E-179,0.931793,Monocyte
FABP5,6.18E-178,1.41541,Monocyte
SPI1,4.21E-177,0.779357,Monocyte
HCST,4.66E-177,1.10107,Monocyte
TYMP,1.38E-173,1.170642,Monocyte
HLA-DRB1,8.58E-169,1.017312,Monocyte
1-Mar,2.11E-168,0.788099,Monocyte
CTSC,1.97E-166,1.220033,Monocyte
OAZ1,2.79E-165,0.832544,Monocyte
CD83,4.62E-161,1.04584,Monocyte
BCL2A1,3.21E-157,0.904805,Monocyte
PLAUR,9.28E-157,0.961691,Monocyte
STAB1,6.50E-156,0.98386,Monocyte
CXCL8,1.03E-151,1.396814,Monocyte
SH3BGRL3,3.17E-151,0.922226,Monocyte
MFSD1,1.54E-149,1.000004,Monocyte
UCP2,3.53E-149,0.965164,Monocyte
RGS2,1.39E-147,1.048872,Monocyte
STAT1,3.56E-147,1.125946,Monocyte
SAMHD1,3.28E-146,0.908559,Monocyte
GPNMB,3.72E-144,1.300394,Monocyte
HLA-DRB5,2.90E-143,1.000046,Monocyte
CST3,2.94E-143,0.850719,Monocyte
GBP5,2.89E-142,0.837656,Monocyte
LGALS9,8.32E-142,0.737146,Monocyte
HLA-DMA,7.75E-141,0.936096,Monocyte
SDCBP,2.73E-140,0.950397,Monocyte
HLA-DQB1,9.54E-139,0.990415,Monocyte
SNX10,1.02E-138,1.158825,Monocyte
NR4A2,1.78E-138,1.12957,Monocyte
CSTA,2.23E-138,0.681827,Monocyte
CCL3L3,7.17E-137,1.247825,Monocyte
CD84,1.67E-133,0.734983,Monocyte
FAM49B,1.27E-127,0.904838,Monocyte
RAP2B,5.10E-125,0.929115,Monocyte
PTPRC,1.20E-124,0.811668,Monocyte
LYN,1.48E-124,0.81788,Monocyte
GBP1,5.70E-120,1.101753,Monocyte
CCL4L2,5.65E-119,1.220368,Monocyte
TTYH3,8.72E-118,0.833599,Monocyte
VAMP8,6.77E-117,0.891235,Monocyte
HLA-A,1.21E-114,0.69512,Monocyte
ZEB2,1.22E-110,0.85036,Monocyte
RGS1,9.71E-109,0.863208,Monocyte
LGALS1,1.91E-106,0.582718,Monocyte
ATP5E,4.95E-105,0.479981,Monocyte
S100A4,4.33E-104,0.832232,Monocyte
ATP6V1B2,3.34E-102,0.825623,Monocyte
RNASET2,2.79E-100,0.793613,Monocyte
LAP3,4.02E-100,0.903645,Monocyte
SAMSN1,2.32E-99,0.695201,Monocyte
HLA-B,3.60E-97,0.526816,Monocyte
CXCL16,1.49E-95,0.810511,Monocyte
NCF1,3.98E-93,0.683903,Monocyte
BASP1,5.90E-93,0.681969,Monocyte
ARHGDIB,1.31E-91,0.781174,Monocyte
CCL4,4.18E-89,1.127472,Monocyte
HLA-E,6.39E-87,0.703537,Monocyte
ARPC5,7.98E-87,0.742084,Monocyte
ASAH1,9.74E-86,0.845091,Monocyte
IDH1,3.78E-85,0.75682,Monocyte
S100A8,1.93E-83,0.852049,Monocyte
SGK1,2.67E-83,0.864848,Monocyte
EVI2B,3.18E-83,0.590834,Monocyte
RNF130,9.74E-83,0.74436,Monocyte
HLA-DQA2,3.05E-82,0.736429,Monocyte
LCP2,7.86E-82,0.64168,Monocyte
PRDX1,4.13E-81,0.829521,Monocyte
AP1S2,1.08E-80,0.791162,Monocyte
NAMPT,2.84E-80,0.842413,Monocyte
PLD3,2.89E-80,0.859895,Monocyte
HCLS1,4.85E-78,0.639811,Monocyte
GMFG,9.56E-78,0.689514,Monocyte
RGS10,1.09E-75,0.670326,Monocyte
LITAF,4.10E-75,0.753284,Monocyte
ALOX5AP,6.18E-74,0.778336,Monocyte
FCGRT,3.69E-73,0.798597,Monocyte
SOD2,3.60E-72,0.659939,Monocyte
KCTD12,3.18E-71,0.715114,Monocyte
CXCL3,1.07E-70,1.095156,Monocyte
BMP2K,9.12E-70,0.65681,Monocyte
TPP1,8.91E-67,0.698591,Monocyte
PYCARD,2.52E-66,0.66177,Monocyte
ACTR2,3.48E-66,0.692549,Monocyte
PFN1,6.62E-66,0.519727,Monocyte
CMTM6,7.08E-66,0.7139,Monocyte
DSE,7.85E-65,0.600143,Monocyte
CD44,1.62E-63,0.673783,Monocyte
S100A11,3.94E-63,0.571095,Monocyte
DUSP1,5.42E-62,0.576167,Monocyte
RASSF4,2.98E-61,0.605238,Monocyte
HLA-C,7.54E-61,0.486167,Monocyte
POMP,3.64E-60,0.510103,Monocyte
COTL1,2.28E-59,0.642329,Monocyte
FGL2,1.19E-58,0.633839,Monocyte
RAB31,1.84E-58,0.668019,Monocyte
GLIPR1,2.35E-58,0.555795,Monocyte
PPT1,3.64E-58,0.717617,Monocyte
GBP4,3.68E-58,0.683953,Monocyte
EFHD2,5.19E-58,0.625368,Monocyte
SCPEP1,8.96E-58,0.687404,Monocyte
PLEKHO1,3.54E-57,0.55723,Monocyte
HNMT,9.65E-57,0.688888,Monocyte
TCN2,5.45E-56,0.681984,Monocyte
ARPC2,1.50E-53,0.566657,Monocyte
ABCA1,2.29E-53,0.587698,Monocyte
GIMAP4,1.55E-51,0.561915,Monocyte
CD63,5.62E-51,0.503044,Monocyte
GRB2,5.53E-50,0.647816,Monocyte
SLC16A3,1.46E-49,0.559098,Monocyte
YBX1,4.82E-49,0.463211,Monocyte
TFRC,1.80E-48,0.643351,Monocyte
H2AFY,6.57E-48,0.622312,Monocyte
BLVRB,2.27E-47,0.709172,Monocyte
CXCL2,5.78E-47,0.713594,Monocyte
SERPING1,1.43E-46,0.682177,Monocyte
CEBPB,3.19E-46,0.6523,Monocyte
CAPG,3.20E-46,0.733365,Monocyte
CFL1,4.51E-46,0.466108,Monocyte
TUBA1B,5.82E-46,0.581961,Monocyte
MOB1A,3.83E-45,0.611401,Monocyte
ISG15,1.49E-44,0.794436,Monocyte
ARPC1B,2.78E-44,0.610938,Monocyte
SNX6,1.13E-43,0.621611,Monocyte
TNFAIP3,2.07E-43,0.64676,Monocyte
NFKBIA,2.49E-43,0.676756,Monocyte
CLEC2B,9.80E-43,0.555728,Monocyte
VAMP5,1.62E-42,0.556286,Monocyte
FOS,9.10E-41,0.379064,Monocyte
SERPINA1,1.77E-40,0.298136,Monocyte
MGAT1,4.26E-39,0.528608,Monocyte
AP2S1,1.37E-38,0.544961,Monocyte
TNFAIP2,1.14E-37,0.555028,Monocyte
CSTB,1.21E-37,0.610291,Monocyte
PRNP,1.36E-37,0.581391,Monocyte
PTPRE,6.74E-37,0.491912,Monocyte
HSPA1A,1.39E-36,0.573112,Monocyte
RHOG,3.47E-36,0.490488,Monocyte
GBP2,5.29E-36,0.51274,Monocyte
TPM3,1.03E-35,0.526616,Monocyte
CAP1,8.06E-35,0.542742,Monocyte
ARPC3,1.34E-34,0.49779,Monocyte
M6PR,5.60E-33,0.542916,Monocyte
PSME2,2.05E-32,0.665136,Monocyte
CCL2,4.25E-32,0.99218,Monocyte
CELF2,5.07E-32,0.495528,Monocyte
RAB32,6.29E-31,0.50399,Monocyte
CAPZA1,8.65E-31,0.542888,Monocyte
DAZAP2,1.83E-30,0.404723,Monocyte
SMCO4,2.45E-30,0.504483,Monocyte
VIM,3.31E-30,0.276532,Monocyte
SLC8A1,3.41E-30,0.341939,Monocyte
IER3,3.54E-30,0.687401,Monocyte
RNF149,1.44E-29,0.560584,Monocyte
PLIN2,1.91E-28,0.615732,Monocyte
WIPF1,3.91E-28,0.490878,Monocyte
LAMP1,2.54E-27,0.54595,Monocyte
SLC40A1,3.26E-27,0.988529,Monocyte
PSMB9,8.19E-27,0.505752,Monocyte
TIMP2,4.78E-26,0.438087,Monocyte
RNF13,5.55E-26,0.518158,Monocyte
RHOA,3.74E-25,0.371692,Monocyte
CD52,2.54E-24,0.503749,Monocyte
MAF,9.51E-24,0.482897,Monocyte
GNAI2,1.48E-23,0.489096,Monocyte
MTHFD2,2.16E-23,0.441414,Monocyte
ATOX1,2.33E-23,0.424187,Monocyte
CORO1C,3.17E-23,0.43695,Monocyte
PFKFB3,6.95E-23,0.431047,Monocyte
GSTO1,8.40E-23,0.516026,Monocyte
C6orf62,1.06E-22,0.467015,Monocyte
WARS,3.31E-22,0.499249,Monocyte
IFI6,4.21E-22,0.481784,Monocyte
ACTR3,6.25E-22,0.456078,Monocyte
EMP3,1.63E-21,0.43203,Monocyte
IFI16,1.72E-21,0.407373,Monocyte
CDC42,2.35E-21,0.362662,Monocyte
APOL6,3.13E-21,0.470708,Monocyte
PABPC1,2.43E-20,0.334353,Monocyte
ARL4C,2.89E-20,0.474694,Monocyte
SYNGR2,3.93E-20,0.470954,Monocyte
CPVL,1.78E-19,0.441986,Monocyte
VOPP1,2.94E-19,0.441115,Monocyte
ICAM1,1.18E-18,0.426501,Monocyte
OSTF1,1.67E-18,0.424131,Monocyte
C1orf54,3.41E-18,0.403432,Monocyte
ARHGAP18,4.14E-18,0.431527,Monocyte
CARD16,4.52E-18,0.417886,Monocyte
UBE2D1,5.59E-18,0.438211,Monocyte
CAPZB,1.76E-17,0.439266,Monocyte
ATP6V1F,1.81E-17,0.406791,Monocyte
IER5,3.88E-17,0.4562,Monocyte
ZFP36,4.17E-17,0.28179,Monocyte
TUBB,1.78E-16,0.407167,Monocyte
RNF213,1.91E-15,0.404277,Monocyte
NCOA4,2.79E-15,0.418001,Monocyte
ARL6IP5,2.84E-15,0.416184,Monocyte
TSPO,3.03E-15,0.424974,Monocyte
IQGAP1,7.83E-15,0.390526,Monocyte
LIMS1,8.12E-15,0.41936,Monocyte
PLEKHA2,1.84E-14,0.383642,Monocyte
CTSA,3.31E-14,0.394374,Monocyte
ATP1B3,3.59E-14,0.383676,Monocyte
BRI3,3.82E-14,0.400396,Monocyte
SPG21,3.94E-14,0.399494,Monocyte
ATP6V0B,6.52E-14,0.30342,Monocyte
PGK1,7.61E-14,0.365505,Monocyte
RAP1A,9.65E-14,0.41634,Monocyte
CTSH,1.39E-13,0.379342,Monocyte
LGALS3,2.47E-13,0.432387,Monocyte
KLF4,5.78E-13,0.402703,Monocyte
AKR1A1,6.01E-13,0.417749,Monocyte
TMEM176B,8.20E-13,0.375563,Monocyte
SCARB2,1.19E-12,0.441581,Monocyte
FXYD5,1.41E-12,0.353211,Monocyte
IRF1,2.29E-12,0.392222,Monocyte
GCA,2.92E-12,0.372411,Monocyte
CXCR4,3.96E-12,0.333948,Monocyte
ATP6AP1,4.70E-12,0.383666,Monocyte
GRINA,5.53E-12,0.391824,Monocyte
DRAM2,6.29E-12,0.359608,Monocyte
SEPP1,1.34E-11,0.795151,Monocyte
DBI,1.37E-11,0.345483,Monocyte
CALM3,2.40E-11,0.432586,Monocyte
ID2,5.50E-11,0.399001,Monocyte
CHMP1B,5.68E-11,0.439153,Monocyte
TXN,2.39E-10,0.356678,Monocyte
ANXA5,4.76E-10,0.341815,Monocyte
RB1,6.49E-10,0.397971,Monocyte
ARPC4,1.18E-09,0.344063,Monocyte
FNBP1,1.91E-09,0.337655,Monocyte
IFNGR1,2.02E-09,0.351012,Monocyte
QKI,3.68E-09,0.352708,Monocyte
DPP7,1.93E-08,0.355071,Monocyte
PCBP1,2.31E-08,0.252848,Monocyte
MCL1,2.85E-08,0.256661,Monocyte
CAPZA2,3.37E-08,0.284685,Monocyte
BLOC1S1,3.75E-08,0.333366,Monocyte
SH3BGRL,4.90E-08,0.339925,Monocyte
ABRACL,7.58E-08,0.359949,Monocyte
PABPC4,1.26E-07,0.332165,Monocyte
HSPA8,2.52E-07,0.272914,Monocyte
CISD2,4.35E-07,0.361928,Monocyte
GNS,7.06E-07,0.364493,Monocyte
ZYX,7.25E-07,0.334895,Monocyte
YWHAH,8.20E-07,0.298399,Monocyte
REL,1.00E-06,0.309686,Monocyte
LAMP2,1.66E-06,0.359165,Monocyte
FAM96A,3.00E-06,0.368944,Monocyte
CLTA,3.46E-06,0.310639,Monocyte
CD47,6.41E-06,0.311909,Monocyte
C4orf48,8.20E-06,0.293323,Monocyte
SKAP2,1.06E-05,0.352311,Monocyte
MGAT4A,1.91E-05,0.299534,Monocyte
DNAJB1,2.17E-05,0.310709,Monocyte
IFI27L2,2.18E-05,0.30846,Monocyte
SPPL2A,2.70E-05,0.327426,Monocyte
PLEKHB2,4.71E-05,0.303345,Monocyte
VPS29,5.11E-05,0.303617,Monocyte
PNRC1,6.68E-05,0.327367,Monocyte
DAB2,1.85E-04,0.291045,Monocyte
SERPINB1,6.82E-04,0.28765,Monocyte
STK4,6.84E-04,0.256128,Monocyte
HN1,7.39E-04,0.308536,Monocyte
PSMA4,8.02E-04,0.275556,Monocyte
PARP14,1.18E-03,0.296276,Monocyte
MSN,1.33E-03,0.251743,Monocyte
LGALS3BP,1.64E-03,0.320339,Monocyte
RBPJ,1.87E-03,0.300691,Monocyte
CKLF,1.94E-03,0.340531,Monocyte
CLTC,2.45E-03,0.287685,Monocyte
IFI27,2.66E-03,0.301279,Monocyte
RAB7A,2.68E-03,0.285529,Monocyte
MBNL1,3.73E-03,0.29162,Monocyte
CREM,3.73E-03,0.307683,Monocyte
TAOK3,5.21E-03,0.279613,Monocyte
HIF1A,6.02E-03,0.277624,Monocyte
LEPROTL1,2.16E-02,0.279274,Monocyte
PDIA3,7.23E-02,0.271932,Monocyte
DEK,1.24E-01,0.273636,Monocyte
NUPR1,2.16E-01,0.396483,Monocyte
SFT2D2,2.70E-01,0.273998,Monocyte
P4HB,3.90E-01,0.257646,Monocyte
GLRX,4.66E-01,0.277426,Monocyte
TAPBP,7.58E-01,0.256124,Monocyte
LINC00998,9.57E-01,0.278684,Monocyte
RAB10,1.00E+00,0.252324,Monocyte
A2M,9.07E-163,1.036263,Peritubular capillary
ACKR1,1.92E-257,1.498992,Peritubular capillary
ACTN1,5.48E-48,0.544082,Peritubular capillary
ADAM15,4.05E-68,0.561553,Peritubular capillary
ADAMTS9,3.63E-29,0.431897,Peritubular capillary
ADGRL4,1.60E-179,0.912782,Peritubular capillary
ANGPT2,1.94E-115,0.841927,Peritubular capillary
ANXA2,3.04E-25,0.33477,Peritubular capillary
APRT,3.24E-09,0.274028,Peritubular capillary
AQP1,5.42E-68,0.671997,Peritubular capillary
ARHGAP29,1.10E-16,0.313099,Peritubular capillary
ARHGDIB,2.17E-16,0.272783,Peritubular capillary
ARL4A,1.05E-09,0.265644,Peritubular capillary
ASAP1,1.17E-27,0.363182,Peritubular capillary
ATP1B3,5.63E-16,0.330857,Peritubular capillary
BACE2,3.78E-32,0.389112,Peritubular capillary
BAX,1.24E-25,0.405934,Peritubular capillary
BMPR2,7.96E-34,0.491899,Peritubular capillary
BTF3,1.34E-30,0.362154,Peritubular capillary
C11orf96,1.94E-33,0.392559,Peritubular capillary
C1orf54,9.65E-31,0.413907,Peritubular capillary
C4orf32,5.15E-44,0.423022,Peritubular capillary
C6orf48,6.26E-11,0.300718,Peritubular capillary
CALCRL,2.37E-156,0.850296,Peritubular capillary
CALD1,9.04E-34,0.316634,Peritubular capillary
CALM1,6.42E-13,0.314516,Peritubular capillary
CARD16,7.00E-19,0.316756,Peritubular capillary
CARD8,2.79E-30,0.381744,Peritubular capillary
CAV1,5.03E-233,1.304284,Peritubular capillary
CAV2,2.94E-72,0.583803,Peritubular capillary
CCDC50,2.69E-12,0.276696,Peritubular capillary
CCDC85B,2.58E-94,0.790306,Peritubular capillary
CCL14,1.54E-137,0.828124,Peritubular capillary
CCL2,1.88E-21,0.629104,Peritubular capillary
CCND1,4.43E-10,0.383264,Peritubular capillary
CD34,2.33E-131,0.735614,Peritubular capillary
CD59,2.61E-70,0.616914,Peritubular capillary
CD93,3.11E-165,0.922617,Peritubular capillary
CD99,2.72E-39,0.503453,Peritubular capillary
CDC37,1.07E-25,0.339945,Peritubular capillary
CDH5,1.52E-124,0.712416,Peritubular capillary
CLDN11,3.24E-41,0.444526,Peritubular capillary
CLDN5,5.43E-77,0.690001,Peritubular capillary
CLEC14A,5.15E-94,0.458494,Peritubular capillary
CLEC2B,1.59E-17,0.277076,Peritubular capillary
CMIP,2.71E-47,0.551207,Peritubular capillary
CNN3,3.46E-34,0.431348,Peritubular capillary
COL15A1,6.33E-151,1.028499,Peritubular capillary
COL4A1,9.41E-88,0.907472,Peritubular capillary
COL4A2,3.97E-70,0.723639,Peritubular capillary
COTL1,1.06E-23,0.366621,Peritubular capillary
COX7A1,1.84E-33,0.393706,Peritubular capillary
CPD,9.32E-06,0.252844,Peritubular capillary
CRIM1,1.29E-61,0.561045,Peritubular capillary
CRIP2,1.28E-27,0.448729,Peritubular capillary
CSF2RB,1.61E-53,0.51915,Peritubular capillary
CTGF,1.04E-110,1.047863,Peritubular capillary
CTHRC1,7.72E-78,0.579701,Peritubular capillary
CXCL12,4.08E-33,0.63575,Peritubular capillary
CXCL2,9.51E-29,0.842368,Peritubular capillary
CXorf36,5.52E-107,0.51581,Peritubular capillary
CYR61,4.18E-100,0.936362,Peritubular capillary
CYYR1,6.05E-91,0.470775,Peritubular capillary
DLC1,4.54E-52,0.488753,Peritubular capillary
DNAJA1,4.63E-15,0.306926,Peritubular capillary
DNAJB4,3.01E-21,0.366138,Peritubular capillary
DNASE1L3,5.19E-131,0.914008,Peritubular capillary
DOCK9,8.01E-50,0.4366,Peritubular capillary
DPYSL2,6.00E-41,0.471047,Peritubular capillary
DUSP23,3.53E-40,0.572277,Peritubular capillary
EBPL,8.39E-15,0.289676,Peritubular capillary
ECSCR,1.58E-232,1.031608,Peritubular capillary
EDN1,2.22E-129,1.154915,Peritubular capillary
EEF1A1,7.90E-51,0.288278,Peritubular capillary
EEF1B2,1.11E-19,0.332563,Peritubular capillary
EEF2,7.95E-17,0.306852,Peritubular capillary
EFEMP1,4.27E-27,0.75959,Peritubular capillary
EGFL7,1.56E-125,0.836943,Peritubular capillary
EHD2,1.67E-27,0.328496,Peritubular capillary
EHD4,3.44E-32,0.38512,Peritubular capillary
EIF2S2,1.39E-17,0.318951,Peritubular capillary
EIF3F,6.65E-08,0.25498,Peritubular capillary
EIF3J,7.84E-13,0.290438,Peritubular capillary
EIF4A1,4.79E-14,0.292165,Peritubular capillary
ELK3,2.48E-66,0.530493,Peritubular capillary
EMCN,1.55E-126,0.741966,Peritubular capillary
EMP1,5.71E-48,0.581912,Peritubular capillary
ENG,5.69E-190,1.050347,Peritubular capillary
ENY2,1.89E-16,0.305761,Peritubular capillary
EPAS1,4.38E-127,0.849199,Peritubular capillary
ESAM,1.16E-66,0.457864,Peritubular capillary
ETS1,1.19E-29,0.419318,Peritubular capillary
ETS2,4.00E-41,0.482799,Peritubular capillary
FABP5,4.34E-15,0.324573,Peritubular capillary
FAM101B,9.97E-56,0.443525,Peritubular capillary
FAM167B,8.02E-100,0.523404,Peritubular capillary
FAM198B,1.07E-94,0.628133,Peritubular capillary
FAM43A,3.05E-55,0.448982,Peritubular capillary
FAU,7.29E-28,0.258094,Peritubular capillary
FDPS,8.75E-19,0.30776,Peritubular capillary
FEZ2,7.14E-30,0.44331,Peritubular capillary
FKBP1A,2.25E-157,1.020332,Peritubular capillary
FLI1,3.94E-40,0.351129,Peritubular capillary
FLNB,4.72E-18,0.311434,Peritubular capillary
FLT1,1.50E-47,0.563384,Peritubular capillary
FOSB,1.21E-35,0.426905,Peritubular capillary
FOXP1,1.26E-12,0.304516,Peritubular capillary
FSTL1,9.20E-23,0.325534,Peritubular capillary
FXYD5,2.98E-32,0.371317,Peritubular capillary
GAPDH,7.97E-29,0.348865,Peritubular capillary
GIMAP4,4.23E-39,0.420839,Peritubular capillary
GIMAP7,3.45E-101,0.782806,Peritubular capillary
GJA1,9.51E-49,0.475948,Peritubular capillary
GLTSCR2,6.40E-10,0.286733,Peritubular capillary
GMFG,1.90E-21,0.317897,Peritubular capillary
GNAI2,2.41E-22,0.338092,Peritubular capillary
GNB2L1,6.11E-41,0.391097,Peritubular capillary
GNG11,6.37E-191,1.15269,Peritubular capillary
GSN,1.27E-09,0.496576,Peritubular capillary
GUK1,1.04E-35,0.448816,Peritubular capillary
GYPC,1.74E-15,0.286802,Peritubular capillary
HDAC7,3.33E-17,0.259776,Peritubular capillary
HEG1,1.65E-72,0.552222,Peritubular capillary
HES1,2.95E-13,0.280803,Peritubular capillary
HLA-E,7.43E-14,0.286026,Peritubular capillary
HSPG2,6.65E-230,1.209484,Peritubular capillary
HYAL2,2.79E-47,0.431021,Peritubular capillary
ICAM1,3.84E-36,0.43766,Peritubular capillary
ICAM2,4.79E-77,0.565516,Peritubular capillary
ID1,1.40E-41,0.52131,Peritubular capillary
ID3,6.06E-78,0.705001,Peritubular capillary
IFI16,5.36E-54,0.505282,Peritubular capillary
IFI27,4.12E-124,1.0351,Peritubular capillary
IFITM2,3.89E-96,0.734068,Peritubular capillary
IFITM3,6.50E-129,0.821026,Peritubular capillary
IGFBP4,8.85E-48,0.4673,Peritubular capillary
IGFBP7,2.77E-119,0.833953,Peritubular capillary
IL33,1.45E-143,0.795726,Peritubular capillary
IL6ST,7.47E-34,0.495124,Peritubular capillary
IRF1,4.19E-09,0.300511,Peritubular capillary
ISG15,9.96E-16,0.314661,Peritubular capillary
ITGA6,9.16E-31,0.464217,Peritubular capillary
ITGB1,1.25E-20,0.330204,Peritubular capillary
ITM2A,4.89E-20,0.338869,Peritubular capillary
JAK1,4.27E-08,0.261065,Peritubular capillary
JMJD1C,1.38E-10,0.28563,Peritubular capillary
JUNB,4.99E-29,0.427079,Peritubular capillary
KDR,5.22E-80,0.638851,Peritubular capillary
KIAA0355,4.39E-16,0.312329,Peritubular capillary
KLF2,3.39E-21,0.450387,Peritubular capillary
KLF4,9.36E-07,0.26897,Peritubular capillary
LAMA4,9.87E-89,0.533327,Peritubular capillary
LAMC1,7.94E-22,0.372907,Peritubular capillary
LDB2,6.50E-123,0.657865,Peritubular capillary
LIFR,5.12E-27,0.479741,Peritubular capillary
LIMA1,1.55E-20,0.327712,Peritubular capillary
LINC01420,5.81E-13,0.294631,Peritubular capillary
LMNA,3.64E-33,0.481555,Peritubular capillary
LPAR6,4.65E-28,0.381691,Peritubular capillary
MALL,2.27E-75,0.525024,Peritubular capillary
MAP1B,1.12E-17,0.253034,Peritubular capillary
MAP4K4,1.27E-41,0.415813,Peritubular capillary
MARCKSL1,3.82E-72,0.640342,Peritubular capillary
MAST4,9.27E-42,0.45514,Peritubular capillary
MCAM,7.27E-85,0.600922,Peritubular capillary
MDK,2.66E-37,0.438746,Peritubular capillary
MEF2C,3.72E-18,0.364627,Peritubular capillary
MGP,1.78E-151,1.003173,Peritubular capillary
MGST2,5.94E-48,0.552985,Peritubular capillary
MIDN,7.48E-08,0.276845,Peritubular capillary
MIR4435-2HG,4.12E-41,0.483869,Peritubular capillary
MKL2,2.94E-75,0.61707,Peritubular capillary
MMRN2,1.46E-112,0.617651,Peritubular capillary
MPZL2,1.48E-26,0.385529,Peritubular capillary
MSN,1.28E-19,0.380755,Peritubular capillary
MTUS1,4.54E-53,0.495533,Peritubular capillary
MYCT1,5.71E-130,0.598914,Peritubular capillary
MYH9,2.84E-40,0.423899,Peritubular capillary
MYL12A,1.06E-71,0.532753,Peritubular capillary
MYL12B,6.43E-27,0.353285,Peritubular capillary
MYL6,3.56E-31,0.345744,Peritubular capillary
NAA38,5.49E-23,0.372697,Peritubular capillary
NACA,5.23E-27,0.318845,Peritubular capillary
NAP1L1,5.79E-32,0.382741,Peritubular capillary
NCOA7,2.50E-12,0.348669,Peritubular capillary
NFIB,9.35E-49,0.581128,Peritubular capillary
NMT2,1.18E-13,0.26573,Peritubular capillary
NNMT,2.06E-50,0.422791,Peritubular capillary
NOP10,2.77E-24,0.360487,Peritubular capillary
NPC2,1.74E-19,0.314737,Peritubular capillary
NPDC1,9.21E-101,0.717164,Peritubular capillary
NR2F2,1.81E-08,0.280596,Peritubular capillary
NRP1,1.23E-30,0.421769,Peritubular capillary
NUAK1,1.66E-158,0.933191,Peritubular capillary
